티커,종목,시장
008260,NI스틸,STK
004250,NPC,STK
004255,NPC우,STK
456040,OCI,STK
010060,OCI홀딩스,STK
178920,PI첨단소재,STK
001340,PKC,STK
024940,PN풍년,KSQ
005490,POSCO홀딩스,STK
332570,PS일렉트로닉스,KSQ
218410,RFHIC,KSQ
327260,RF머트리얼즈,KSQ
474610,RF시스템즈,KSQ
091340,S&K폴리텍,KSQ
010950,S-Oil,STK
010955,S-Oil우,STK
419530,SAMG엔터,KSQ
019550,SBI인베스트먼트,KSQ
034120,SBS,STK
003080,SB성보,STK
246960,SCL사이언스,KSQ
099220,SDN,KSQ
056190,SFA,KSQ
222080,SFA넥셀,KSQ
036540,SFA반도체,KSQ
255220,SG,KSQ
040610,SG&G,KSQ
184230,SGA솔루션즈,KSQ
016250,SGC E&C,KSQ
005090,SGC에너지,STK
001380,SG글로벌,STK
004060,SG세계물산,STK
001770,SHD,STK
002360,SH에너지화학,STK
009160,SIMPAC,STK
033530,SJG세종,STK
123700,SJM,STK
025530,SJM홀딩스,STK
034730,SK,STK
357880,SKAI,KSQ
011790,SKC,STK
018670,SK가스,STK
001740,SK네트웍스,STK
006120,SK디스커버리,STK
006125,SK디스커버리우,STK
210980,SK디앤디,STK
395400,SK리츠,STK
302440,SK바이오사이언스,STK
326030,SK바이오팜,STK
402340,SK스퀘어,STK
260870,SK시그넷,KNX
361610,SK아이이테크놀로지,STK
100090,SK오션플랜트,STK
03473K,SK우,STK
096770,SK이노베이션,STK
096775,SK이노베이션우,STK
475150,SK이터닉스,STK
001510,SK증권,STK
001515,SK증권우,STK
285130,SK케미칼,STK
28513K,SK케미칼우,STK
017670,SK텔레콤,STK
000660,SK하이닉스,STK
048550,SM C&C,KSQ
063440,SM Life Design,KSQ
003570,SNT다이내믹스,STK
064960,SNT모티브,STK
100840,SNT에너지,STK
036530,SNT홀딩스,STK
067160,SOOP,KSQ
000390,SP삼화,STK
011810,STX,STK
465770,STX그린로지스,STK
077970,STX엔진,STK
002820,SUN&L,STK
289080,SV인베스트먼트,KSQ
002170,SYTS,STK
041930,SY동아,KSQ
084870,TBH글로벌,STK
002710,TCC스틸,STK
089230,THE E&M,KSQ
032540,TJ미디어,KSQ
069260,TKG휴켐스,STK
007980,TP,STK
048770,TPC로보틱스,KSQ
246690,TS인베스트먼트,KSQ
317240,TS트릴리온,KSQ
002900,TYM,STK
024070,WISCOM,STK
057030,YBM넷,KSQ
037270,YG PLUS,STK
040300,YTN,KSQ
051390,YW,KSQ
052220,iMBC,KSQ
139130,iM금융지주,STK
079940,가비아,KSQ
078890,가온그룹,KSQ
000500,가온전선,STK
399720,가온칩스,KSQ
296520,가이아코퍼레이션,KNX
036620,감성코퍼레이션,KSQ
000860,강남제비스코,STK
198440,강동씨앤엘,KSQ
217730,강스템바이오텍,KSQ
035250,강원랜드,STK
114190,강원에너지,KSQ
094480,갤럭시아머니트리,KSQ
011420,갤럭시아에스엠,STK
039240,경남스틸,KSQ
053950,경남제약,KSQ
002100,경농,STK
009450,경동나비엔,STK
267290,경동도시가스,STK
012320,경동인베스트,STK
011040,경동제약,KSQ
000050,경방,STK
214390,경보제약,STK
012610,경인양행,STK
009140,경인전자,STK
024910,경창산업,KSQ
013580,계룡건설,STK
012200,계양전기,STK
012205,계양전기우,STK
002140,고려산업,STK
049720,고려신용정보,KSQ
010130,고려아연,STK
002240,고려제강,STK
014570,고려제약,KSQ
348150,고바이오랩,KSQ
950190,고스트스튜디오,KSQ
098460,고영,KSQ
035290,골드앤에스,KSQ
215000,골프존,KSQ
121440,골프존홀딩스,KSQ
009290,광동제약,STK
086220,광동헬스바이오,KNX
017040,광명전기,STK
029480,광무,KSQ
017900,광전자,STK
037710,광주신세계,STK
026910,광진실업,KSQ
465320,교보15호스팩,KSQ
482520,교보16호스팩,KSQ
489210,교보17호스팩,KSQ
0041B0,교보18호스팩,KSQ
0098T0,교보19호스팩,KSQ
0132G0,교보20호스팩,KSQ
030610,교보증권,STK
339770,교촌에프앤비,STK
053270,구영테크,KSQ
007690,국도화학,STK
066620,국보디자인,KSQ
043650,국순당,KSQ
006050,국영지앤엠,KSQ
060480,국일신동,KSQ
078130,국일제지,KSQ
307750,국전,KSQ
002720,국제약품,STK
035080,그래디언트,KSQ
318060,그래피,KSQ
453450,그리드위즈,KSQ
204020,그리티,KSQ
0015G0,그린광학,KSQ
402490,그린리소스,KSQ
114450,그린생명과학,KSQ
083420,그린케미칼,STK
186230,그린플러스,KSQ
014530,극동유화,STK
900070,글로벌에스엠,KSQ
204620,글로벌텍스프리,KSQ
019660,글로본,KSQ
014280,금강공업,STK
014285,금강공업우,STK
053260,금강철강,KSQ
